Chromosome	Benign	Likely pathogenic	Pathogenic	Uncertain significance
1	3326	1068	3232	2875
10	1915	384	1394	1690
11	1788	763	2940	1887
12	1893	533	1657	1768
13	1085	430	3842	915
14	1284	311	982	1086
15	1550	647	2151	1373
16	1568	794	3445	2262
17	1873	1009	6622	2418
18	916	224	872	839
19	1680	525	1923	1488
2	3014	1806	5002	3590
20	827	182	758	654
21	590	136	510	453
22	898	334	1522	921
3	2206	606	2587	2234
4	2110	386	1167	1514
5	2427	531	2671	1945
6	2204	671	1928	1719
7	2219	602	2124	2055
8	1594	468	1764	1474
9	1792	633	2037	1875
MT	5	13	58	11
X	1873	869	5191	2389
Y	196	8	133	68
